number,name,status
PEP 625,Filename of a Source Distribution,PEP 625
PEP 613,Explicit Type Aliases,PEP 613
PEP 617,New PEG parser for CPython,PEP 617
PEP 615,Support for the IANA Time Zone Database in the Standard Library,PEP 615
PEP 604,Allow writing union types as,PEP 604
PEP 612,Parameter Specification Variables,PEP 612
PEP 590,Vectorcall: a fast calling protocol for CPython,PEP 590
PEP 589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,PEP 589
PEP 591,Adding a final qualifier to typing,PEP 591
PEP 593,Flexible function and variable annotations,PEP 593
PEP 594,Removing dead batteries from the standard library,PEP 594
PEP 578,Python Runtime Audit Hooks,PEP 578
PEP 560,Core support for typing module and generic types,PEP 560
PEP 586,Literal Types,PEP 586
PEP 563,Postponed Evaluation of Annotations,PEP 563
PEP 544,Protocols: Structural subtyping (static duck typing),PEP 544
PEP 458,Secure PyPI downloads with signed repository metadata,PEP 458
PEP 8103,2022 Term steering council election,PEP 8103
PEP 8104,2023 Term Steering Council election,PEP 8104
PEP 8102,2021 Term steering council election,PEP 8102
PEP 8100,January 2019 steering council election,PEP 8100
PEP 8101,2020 Term steering council election,PEP 8101
PEP 8016,The Steering Council Model,PEP 8016
PEP 693,Python 3.12 Release Schedule,PEP 693
PEP 8002,Open Source Governance Survey,PEP 8002
PEP 3333,Python Web Server Gateway Interface v1.0.1,PEP 3333
PEP 8000,Python Language Governance Proposal Overview,PEP 8000
PEP 801,Reserved,PEP 801
PEP 635,Structural Pattern Matching: Motivation and Rationale,PEP 635
PEP 664,Python 3.11 Release Schedule,PEP 664
PEP 672,Unicode-related Security Considerations for Python,PEP 672
PEP 636,Structural Pattern Matching: Tutorial,PEP 636
PEP 630,Isolating Extension Modules,PEP 630
PEP 602,Annual Release Cycle for Python,PEP 602
PEP 607,Reducing CPython’s Feature Delivery Latency,PEP 607
PEP 619,Python 3.10 Release Schedule,PEP 619
PEP 596,Python 3.9 Release Schedule,PEP 596
PEP 569,Python 3.8 Release Schedule,PEP 569
PEP 579,Refactoring C functions and methods,PEP 579
PEP 514,Python registration in the Windows registry,PEP 514
PEP 537,Python 3.7 Release Schedule,PEP 537
PEP 457,Notation For Positional-Only Parameters,PEP 457
PEP 483,The Theory of Type Hints,PEP 483
PEP 482,Literature Overview for Type Hints,PEP 482
PEP 434,IDLE Enhancement Exception for All Branches,PEP 434
PEP 452,API for Cryptographic Hash Functions v2.0,PEP 452
PEP 399,Pure Python/C Accelerator Module Compatibility Requirements,PEP 399
PEP 404,Python 2.8 Un-release Schedule,PEP 404
PEP 394,The “python” Command on Unix-Like Systems,PEP 394
PEP 430,Migrating to Python 3 as the default online documentation,PEP 430
PEP 291,Backward Compatibility for the Python 2 Standard Library,PEP 291
PEP 257,Docstring Conventions,PEP 257
PEP 333,Python Web Server Gateway Interface v1.0,PEP 333
PEP 290,Code Migration and Modernization,PEP 290
PEP 249,Python Database API Specification v2.0,PEP 249
PEP 248,Python Database API Specification v1.0,PEP 248
PEP 272,API for Block Encryption Algorithms v1.0,PEP 272
PEP 287,reStructuredText Docstring Format,PEP 287
PEP 2,Procedure for Adding New Modules,PEP 2
PEP 4,Deprecation of Standard Modules,PEP 4
